meter_id,meter,model,feature_count,context_rows,regime_id,regime,normal_count,false_positive_count,rate
1,Chilledwater,tabpfn,137,100000,7,≥300k,0,0,
1,Chilledwater,trees,137,5000,0,0–1,231482,154378,0.6669114661183159
1,Chilledwater,trees,137,5000,1,1–10,147243,847,0.005752395699625788
1,Chilledwater,trees,137,5000,2,10–100,463579,2077,0.004480358256090116
1,Chilledwater,trees,137,5000,3,100–1k,848372,966,0.0011386514406416053
1,Chilledwater,trees,137,5000,4,1k–10k,281688,329,0.0011679588764874614
1,Chilledwater,trees,137,5000,5,10k–100k,1851,2,0.0010804970286331713
1,Chilledwater,trees,137,5000,6,100k–300k,0,0,
1,Chilledwater,trees,137,5000,7,≥300k,0,0,
1,Chilledwater,trees,137,10000,0,0–1,231482,145581,0.6289085112449349
1,Chilledwater,trees,137,10000,1,1–10,147243,1022,0.006940907207812935
1,Chilledwater,trees,137,10000,2,10–100,463579,2431,0.005243982147595124
1,Chilledwater,trees,137,10000,3,100–1k,848372,1420,0.0016737940431791713
1,Chilledwater,trees,137,10000,4,1k–10k,281688,423,0.001501661412626736
1,Chilledwater,trees,137,10000,5,10k–100k,1851,4,0.0021609940572663426
1,Chilledwater,trees,137,10000,6,100k–300k,0,0,
1,Chilledwater,trees,137,10000,7,≥300k,0,0,
1,Chilledwater,trees,137,20000,0,0–1,231482,141302,0.6104232726518692
1,Chilledwater,trees,137,20000,1,1–10,147243,871,0.00591539156360574
1,Chilledwater,trees,137,20000,2,10–100,463579,2522,0.005440280944563926
1,Chilledwater,trees,137,20000,3,100–1k,848372,1534,0.0018081690579132739
1,Chilledwater,trees,137,20000,4,1k–10k,281688,380,0.0013490102524779189
1,Chilledwater,trees,137,20000,5,10k–100k,1851,7,0.0037817396002160996
1,Chilledwater,trees,137,20000,6,100k–300k,0,0,
1,Chilledwater,trees,137,20000,7,≥300k,0,0,
1,Chilledwater,trees,137,50000,0,0–1,231482,133193,0.5753924711208647
1,Chilledwater,trees,137,50000,1,1–10,147243,1300,0.008828942632247374
1,Chilledwater,trees,137,50000,2,10–100,463579,2276,0.004909627053857056
1,Chilledwater,trees,137,50000,3,100–1k,848372,1184,0.0013956141881155907
1,Chilledwater,trees,137,50000,4,1k–10k,281688,408,0.0014484110079236601
1,Chilledwater,trees,137,50000,5,10k–100k,1851,5,0.002701242571582928
1,Chilledwater,trees,137,50000,6,100k–300k,0,0,
1,Chilledwater,trees,137,50000,7,≥300k,0,0,
1,Chilledwater,trees,137,100000,0,0–1,231482,129582,0.5597929860637112
1,Chilledwater,trees,137,100000,1,1–10,147243,797,0.0054128209830008895
1,Chilledwater,trees,137,100000,2,10–100,463579,1923,0.004148160291989068
1,Chilledwater,trees,137,100000,3,100–1k,848372,927,0.0010926810408641492
1,Chilledwater,trees,137,100000,4,1k–10k,281688,381,0.0013525602794581238
1,Chilledwater,trees,137,100000,5,10k–100k,1851,3,0.0016207455429497568
1,Chilledwater,trees,137,100000,6,100k–300k,0,0,
1,Chilledwater,trees,137,100000,7,≥300k,0,0,
2,Steam,tabpfn,137,5000,0,0–1,113715,53978,0.4746779228773689
2,Steam,tabpfn,137,5000,1,1–10,28581,1155,0.04041146216017634
2,Steam,tabpfn,137,5000,2,10–100,260925,2689,0.010305643384114209
2,Steam,tabpfn,137,5000,3,100–1k,583601,4990,0.008550362319461413
2,Steam,tabpfn,137,5000,4,1k–10k,291800,653,0.0022378341329677863
2,Steam,tabpfn,137,5000,5,10k–100k,22637,1,4.417546494676856e-05
2,Steam,tabpfn,137,5000,6,100k–300k,462,0,0.0
2,Steam,tabpfn,137,5000,7,≥300k,0,0,
2,Steam,tabpfn,137,10000,0,0–1,113715,46005,0.40456404168315524
2,Steam,tabpfn,137,10000,1,1–10,28581,1181,0.04132115741226689
2,Steam,tabpfn,137,10000,2,10–100,260925,1805,0.0069176966561272394
2,Steam,tabpfn,137,10000,3,100–1k,583601,5258,0.009009580175496615
2,Steam,tabpfn,137,10000,4,1k–10k,291800,661,0.00226525017135024
2,Steam,tabpfn,137,10000,5,10k–100k,22637,11,0.00048593011441445423
2,Steam,tabpfn,137,10000,6,100k–300k,462,0,0.0
2,Steam,tabpfn,137,10000,7,≥300k,0,0,
2,Steam,tabpfn,137,20000,0,0–1,113715,44269,0.38929780591830454
2,Steam,tabpfn,137,20000,1,1–10,28581,1059,0.03705258738322662
2,Steam,tabpfn,137,20000,2,10–100,260925,1284,0.004920954297211843
2,Steam,tabpfn,137,20000,3,100–1k,583601,4809,0.00824021891669137
2,Steam,tabpfn,137,20000,4,1k–10k,291800,659,0.0022583961617546264
2,Steam,tabpfn,137,20000,5,10k–100k,22637,13,0.0005742810443079914
2,Steam,tabpfn,137,20000,6,100k–300k,462,1,0.0021645021645021645
2,Steam,tabpfn,137,20000,7,≥300k,0,0,
2,Steam,tabpfn,137,50000,0,0–1,113715,33068,0.2907971683594952
2,Steam,tabpfn,137,50000,1,1–10,28581,1058,0.03701759910430006
2,Steam,tabpfn,137,50000,2,10–100,260925,1605,0.006151192871514803
2,Steam,tabpfn,137,50000,3,100–1k,583601,4382,0.007508554646068118
2,Steam,tabpfn,137,50000,4,1k–10k,291800,528,0.0018094585332419466
2,Steam,tabpfn,137,50000,5,10k–100k,22637,20,0.0008835092989353713
2,Steam,tabpfn,137,50000,6,100k–300k,462,1,0.0021645021645021645
2,Steam,tabpfn,137,50000,7,≥300k,0,0,
2,Steam,tabpfn,137,100000,0,0–1,113715,26410,0.2322472848788638
2,Steam,tabpfn,137,100000,1,1–10,28581,783,0.02739582239949617
2,Steam,tabpfn,137,100000,2,10–100,260925,1009,0.0038670115933697423
2,Steam,tabpfn,137,100000,3,100–1k,583601,2919,0.005001704931965504
2,Steam,tabpfn,137,100000,4,1k–10k,291800,371,0.001271418779986292
2,Steam,tabpfn,137,100000,5,10k–100k,22637,32,0.001413614878296594
2,Steam,tabpfn,137,100000,6,100k–300k,462,1,0.0021645021645021645
2,Steam,tabpfn,137,100000,7,≥300k,0,0,
2,Steam,trees,137,5000,0,0–1,113715,51730,0.4549092028316405
2,Steam,trees,137,5000,1,1–10,28581,1536,0.05374199643119555
2,Steam,trees,137,5000,2,10–100,260925,3665,0.014046181853022898
2,Steam,trees,137,5000,3,100–1k,583601,4143,0.007099028274454636
2,Steam,trees,137,5000,4,1k–10k,291800,445,0.001525017135023989
2,Steam,trees,137,5000,5,10k–100k,22637,0,0.0
2,Steam,trees,137,5000,6,100k–300k,462,0,0.0
2,Steam,trees,137,5000,7,≥300k,0,0,
2,Steam,trees,137,10000,0,0–1,113715,42835,0.3766873323660027
2,Steam,trees,137,10000,1,1–10,28581,1253,0.04384031349497918
2,Steam,trees,137,10000,2,10–100,260925,3227,0.012367538564721663
