meter_id,meter,model,feature_count,context_rows,threshold,holdout_max_f1,baseline_tn,baseline_fp,baseline_fn,baseline_tp,baseline_false_positive_rate,baseline_anomaly_recall,baseline_precision,baseline_f1,f1_tn,f1_fp,f1_fn,f1_tp,f1_false_positive_rate,f1_anomaly_recall,f1_precision,f1_f1,delta_fp,delta_false_positive_rate,delta_fn,delta_anomaly_recall
2,Steam,tabpfn,137,5000,0.8732237815856934,0.6422611688008508,1238255,63466,6651,42237,0.048755455278051134,0.8639543446244478,0.3995818472512606,0.5464354328518478,1272093,29628,11747,37141,0.02276063764815963,0.7597160857470135,0.5562611391514026,0.6422611688008508,-33838,-0.025994817629891503,5096,-0.10423825887743421
2,Steam,tabpfn,137,10000,0.9106889963150024,0.694563123881779,1246800,54921,6441,42447,0.042191068593039525,0.8682498772704959,0.43594404732561004,0.5804479816212668,1283847,17874,13367,35521,0.013731052967571392,0.7265791196203567,0.665249555201798,0.694563123881779,-37047,-0.028460015625468134,6926,-0.14167075765013915
2,Steam,tabpfn,137,20000,0.9131615161895752,0.7024812022704324,1249627,52094,5987,42901,0.040019328258513155,0.8775364097529046,0.45161324280225273,0.5963317417624041,1284431,17290,13059,35829,0.013282416124499798,0.7328792341678939,0.674504414616239,0.7024812022704324,-34804,-0.026736912134013358,7072,-0.14465717558501068
2,Steam,tabpfn,137,50000,0.8948761224746704,0.7661100009037868,1261059,40662,5708,43180,0.0312371084126322,0.8832433316969399,0.5150163402590587,0.6506441648459278,1289173,12548,10743,38145,0.009639546415860234,0.780252822778596,0.7524707553311109,0.7661100009037868,-28114,-0.021597561996771965,5035,-0.10299050891834394
2,Steam,tabpfn,137,100000,0.84783935546875,0.7734525324886771,1270196,31525,5704,43184,0.02421793917436993,0.8833251513663885,0.5780294208194461,0.6987871873912797,1288458,13263,9696,39192,0.010188819263113985,0.8016691212567502,0.7471547040320274,0.7734525324886771,-18262,-0.014029119911255944,3992,-0.08165603010963829
2,Steam,trees,137,5000,0.9398916959762573,0.6625071230574577,1240202,61519,6529,42359,0.04725974306322169,0.8664498445426281,0.40777643004293496,0.554560569760287,1281369,20352,14591,34297,0.01563468669553614,0.7015423007691048,0.627586964079855,0.6625071230574577,-41167,-0.03162505636768555,8062,-0.16490754377352324
2,Steam,trees,137,10000,0.9024956226348877,0.6916967643792405,1249794,51927,6354,42534,0.03989103655852522,0.8700294550810015,0.4502810683774256,0.5934328108323044,1280516,21205,11830,37058,0.016289973043378727,0.7580183276059564,0.636046890822649,0.6916967643792405,-30722,-0.02360106351514649,5476,-0.11201112747504505
2,Steam,trees,137,20000,0.8634533882141113,0.6899414370922479,1254828,46893,6191,42697,0.03602384842834985,0.8733636066110293,0.47658220783569594,0.6166611302878435,1278018,23703,10658,38230,0.018208971046791134,0.7819914907543773,0.6172799638318829,0.6899414370922479,-23190,-0.01781487738155872,4467,-0.09137211585665195
2,Steam,trees,137,50000,0.7398369312286377,0.6946837427677939,1258902,42819,6170,42718,0.03289414551966205,0.8737931598756341,0.4994096122145972,0.6355663009112887,1274015,27706,8125,40763,0.021284130777639756,0.8338037964326624,0.5953497203113818,0.6946837427677939,-15113,-0.011610014742022293,1955,-0.03998936344297166
2,Steam,trees,137,100000,0.9072009325027466,0.6991935308566832,1262223,39498,6184,42704,0.03034290758157854,0.8735067910325642,0.5195007420744021,0.6515218552139751,1290768,10953,16723,32165,0.00841424544890956,0.6579324169530355,0.7459761584489076,0.6991935308566832,-28545,-0.02192866213266898,10539,-0.21557437407952873
3,Hotwater,tabpfn,137,5000,0.8632552623748779,0.7580861911551994,476269,69161,7838,82853,0.12680087270593843,0.9135746656228292,0.5450353256936861,0.6827465441585464,515058,30372,16792,73899,0.055684505802761124,0.8148438103009119,0.7087205455016256,0.7580861911551994,-38789,-0.0711163669031773,8954,-0.09873085532191728
3,Hotwater,tabpfn,137,10000,0.7924801111221313,0.7940841622525937,489658,55772,8340,82351,0.10225326806372953,0.9080393864881852,0.5962149678185386,0.7198073544450951,523313,22117,16408,74283,0.040549658067946394,0.8190779680453407,0.7705705394190872,0.7940841622525937,-33655,-0.061703609995783136,8068,-0.08896141844284444
3,Hotwater,tabpfn,137,20000,0.6769630312919617,0.7887067208733141,502929,42501,9125,81566,0.07792200649029206,0.8993836213075167,0.6574350955532091,0.7596084895556859,517837,27593,13673,77018,0.05058944319161029,0.8492353155219371,0.7362323273843094,0.7887067208733141,-14908,-0.02733256329868177,4548,-0.050148305785579605
3,Hotwater,tabpfn,137,50000,0.6563372611999512,0.7585418478085852,508590,36840,15465,75226,0.06754303943677466,0.8294759127146023,0.6712651473238984,0.7420311012690068,520468,24962,20026,70665,0.045765726124342265,0.7791842630470499,0.7389649366810629,0.7585418478085852,-11878,-0.021777313312432392,4561,-0.050291649667552396
3,Hotwater,tabpfn,137,100000,0.5539127588272095,0.7400554157775726,513353,32077,18836,71855,0.058810479804924556,0.7923057414737956,0.691365508216911,0.7384019360507237,517438,27992,20980,69711,0.051320976110591644,0.7686650274007344,0.7134990737234271,0.7400554157775726,-4085,-0.007489503694332912,2144,-0.02364071407306123
3,Hotwater,trees,137,5000,0.8503103256225586,0.7293273174733389,480370,65060,9696,80995,0.11928203435821279,0.8930875169531707,0.5545513676354797,0.6842354253081362,512205,33225,19567,71124,0.06091524118585336,0.7842454047259375,0.6815973320300147,0.7293273174733389,-31835,-0.058366793172359425,9871,-0.10884211222723317
3,Hotwater,trees,137,10000,0.7863837480545044,0.7371294276349764,491213,54217,12339,78352,0.099402306437123,0.8639446031028437,0.5910280684021151,0.7018901728925915,516291,29139,20747,69944,0.053423904075683405,0.7712341908237863,0.705913224266524,0.7371294276349764,-25078,-0.045978402361439595,8408,-0.09271041227905741
3,Hotwater,trees,137,20000,0.7409506440162659,0.7559079094754929,498817,46613,14215,76476,0.08546101241222522,0.8432589782889152,0.6213065342963222,0.7154644962110582,521723,23707,21183,69508,0.043464789248849535,0.766426657551466,0.7456739795097356,0.7559079094754929,-22906,-0.04199622316337568,6968,-0.07683232073744917
3,Hotwater,trees,137,50000,0.7396552562713623,0.7673638406944429,501423,44007,15283,75408,0.08068313074088335,0.8314827270622223,0.631478457480216,0.7178091058798893,524793,20637,21385,69306,0.03783620262911831,0.764199314154657,0.7705546846336013,0.7673638406944429,-23370,-0.042846928111765034,6102,-0.06728341290756523
3,Hotwater,trees,137,100000,0.7266824245452881,0.7701151351623121,506646,38784,16376,74315,0.07110719982399208,0.8194308145240432,0.6570791961025296,0.7293292114431523,526042,19388,21763,68928,0.03554626624864786,0.7600313151249848,0.7804701299877712,0.7701151351623121,-19396,-0.03556093357534422,5387,-0.05939949939905842
