meter_id,meter,model,context_rows,regime_id,regime,anomaly_count,baseline_detected_count,f1_detected_count,threshold
1,Chilledwater,tabpfn,50000,4,1k–10k,2549,2354,2048,0.9140154123306274
1,Chilledwater,tabpfn,50000,5,10k–100k,159,159,141,0.9140154123306274
1,Chilledwater,tabpfn,50000,6,100k–300k,1,1,1,0.9140154123306274
1,Chilledwater,tabpfn,50000,7,≥300k,0,0,0,0.9140154123306274
1,Chilledwater,tabpfn,100000,0,0–1,126948,124205,98021,0.9133889675140381
1,Chilledwater,tabpfn,100000,1,1–10,567,300,122,0.9133889675140381
1,Chilledwater,tabpfn,100000,2,10–100,2371,1594,1120,0.9133889675140381
1,Chilledwater,tabpfn,100000,3,100–1k,8544,7844,6313,0.9133889675140381
1,Chilledwater,tabpfn,100000,4,1k–10k,2549,2390,2055,0.9133889675140381
1,Chilledwater,tabpfn,100000,5,10k–100k,159,159,123,0.9133889675140381
1,Chilledwater,tabpfn,100000,6,100k–300k,1,1,1,0.9133889675140381
1,Chilledwater,tabpfn,100000,7,≥300k,0,0,0,0.9133889675140381
1,Chilledwater,trees,5000,0,0–1,126948,126257,118018,0.8970602750778198
1,Chilledwater,trees,5000,1,1–10,567,216,72,0.8970602750778198
1,Chilledwater,trees,5000,2,10–100,2371,1392,1128,0.8970602750778198
1,Chilledwater,trees,5000,3,100–1k,8544,7304,6469,0.8970602750778198
1,Chilledwater,trees,5000,4,1k–10k,2549,2072,1675,0.8970602750778198
1,Chilledwater,trees,5000,5,10k–100k,159,145,118,0.8970602750778198
1,Chilledwater,trees,5000,6,100k–300k,1,1,0,0.8970602750778198
1,Chilledwater,trees,5000,7,≥300k,0,0,0,0.8970602750778198
1,Chilledwater,trees,10000,0,0–1,126948,125079,99096,0.9465453624725342
1,Chilledwater,trees,10000,1,1–10,567,262,70,0.9465453624725342
1,Chilledwater,trees,10000,2,10–100,2371,1490,1081,0.9465453624725342
1,Chilledwater,trees,10000,3,100–1k,8544,7573,6301,0.9465453624725342
1,Chilledwater,trees,10000,4,1k–10k,2549,2231,1641,0.9465453624725342
1,Chilledwater,trees,10000,5,10k–100k,159,156,133,0.9465453624725342
1,Chilledwater,trees,10000,6,100k–300k,1,1,1,0.9465453624725342
1,Chilledwater,trees,10000,7,≥300k,0,0,0,0.9465453624725342
1,Chilledwater,trees,20000,0,0–1,126948,124720,107673,0.8962291479110718
1,Chilledwater,trees,20000,1,1–10,567,290,96,0.8962291479110718
1,Chilledwater,trees,20000,2,10–100,2371,1555,1249,0.8962291479110718
1,Chilledwater,trees,20000,3,100–1k,8544,7727,6904,0.8962291479110718
1,Chilledwater,trees,20000,4,1k–10k,2549,2282,1949,0.8962291479110718
1,Chilledwater,trees,20000,5,10k–100k,159,158,147,0.8962291479110718
1,Chilledwater,trees,20000,6,100k–300k,1,1,1,0.8962291479110718
1,Chilledwater,trees,20000,7,≥300k,0,0,0,0.8962291479110718
1,Chilledwater,trees,50000,0,0–1,126948,125750,104616,0.9207515120506287
1,Chilledwater,trees,50000,1,1–10,567,346,99,0.9207515120506287
1,Chilledwater,trees,50000,2,10–100,2371,1650,1246,0.9207515120506287
1,Chilledwater,trees,50000,3,100–1k,8544,7837,6824,0.9207515120506287
1,Chilledwater,trees,50000,4,1k–10k,2549,2330,1950,0.9207515120506287
1,Chilledwater,trees,50000,5,10k–100k,159,158,143,0.9207515120506287
1,Chilledwater,trees,50000,6,100k–300k,1,1,1,0.9207515120506287
1,Chilledwater,trees,50000,7,≥300k,0,0,0,0.9207515120506287
1,Chilledwater,trees,100000,0,0–1,126948,125409,102315,0.9200989603996277
1,Chilledwater,trees,100000,1,1–10,567,305,107,0.9200989603996277
1,Chilledwater,trees,100000,2,10–100,2371,1640,1280,0.9200989603996277
1,Chilledwater,trees,100000,3,100–1k,8544,7841,7018,0.9200989603996277
1,Chilledwater,trees,100000,4,1k–10k,2549,2360,1966,0.9200989603996277
1,Chilledwater,trees,100000,5,10k–100k,159,158,144,0.9200989603996277
1,Chilledwater,trees,100000,6,100k–300k,1,1,1,0.9200989603996277
1,Chilledwater,trees,100000,7,≥300k,0,0,0,0.9200989603996277
2,Steam,tabpfn,5000,0,0–1,38400,37547,34034,0.8732237815856934
2,Steam,tabpfn,5000,1,1–10,250,63,2,0.8732237815856934
2,Steam,tabpfn,5000,2,10–100,1215,285,141,0.8732237815856934
2,Steam,tabpfn,5000,3,100–1k,4143,3140,2216,0.8732237815856934
2,Steam,tabpfn,5000,4,1k–10k,1418,1154,734,0.8732237815856934
2,Steam,tabpfn,5000,5,10k–100k,197,46,14,0.8732237815856934
2,Steam,tabpfn,5000,6,100k–300k,70,1,0,0.8732237815856934
2,Steam,tabpfn,5000,7,≥300k,3195,1,0,0.8732237815856934
2,Steam,tabpfn,10000,0,0–1,38400,37542,32343,0.9106889963150024
2,Steam,tabpfn,10000,1,1–10,250,87,0,0.9106889963150024
2,Steam,tabpfn,10000,2,10–100,1215,325,134,0.9106889963150024
2,Steam,tabpfn,10000,3,100–1k,4143,3208,2269,0.9106889963150024
2,Steam,tabpfn,10000,4,1k–10k,1418,1184,757,0.9106889963150024
2,Steam,tabpfn,10000,5,10k–100k,197,56,18,0.9106889963150024
2,Steam,tabpfn,10000,6,100k–300k,70,5,0,0.9106889963150024
2,Steam,tabpfn,10000,7,≥300k,3195,40,0,0.9106889963150024
2,Steam,tabpfn,20000,0,0–1,38400,37637,32270,0.9131615161895752
2,Steam,tabpfn,20000,1,1–10,250,110,6,0.9131615161895752
2,Steam,tabpfn,20000,2,10–100,1215,420,181,0.9131615161895752
2,Steam,tabpfn,20000,3,100–1k,4143,3377,2496,0.9131615161895752
2,Steam,tabpfn,20000,4,1k–10k,1418,1214,858,0.9131615161895752
2,Steam,tabpfn,20000,5,10k–100k,197,50,18,0.9131615161895752
2,Steam,tabpfn,20000,6,100k–300k,70,7,0,0.9131615161895752
2,Steam,tabpfn,20000,7,≥300k,3195,86,0,0.9131615161895752
2,Steam,tabpfn,50000,0,0–1,38400,37589,33991,0.8948761224746704
2,Steam,tabpfn,50000,1,1–10,250,134,29,0.8948761224746704
2,Steam,tabpfn,50000,2,10–100,1215,543,297,0.8948761224746704
2,Steam,tabpfn,50000,3,100–1k,4143,3473,2809,0.8948761224746704
2,Steam,tabpfn,50000,4,1k–10k,1418,1233,982,0.8948761224746704
2,Steam,tabpfn,50000,5,10k–100k,197,65,37,0.8948761224746704
2,Steam,tabpfn,50000,6,100k–300k,70,13,0,0.8948761224746704
2,Steam,tabpfn,50000,7,≥300k,3195,130,0,0.8948761224746704
2,Steam,tabpfn,100000,0,0–1,38400,37420,34677,0.84783935546875
2,Steam,tabpfn,100000,1,1–10,250,126,41,0.84783935546875
2,Steam,tabpfn,100000,2,10–100,1215,558,377,0.84783935546875
2,Steam,tabpfn,100000,3,100–1k,4143,3546,3018,0.84783935546875
2,Steam,tabpfn,100000,4,1k–10k,1418,1232,1037,0.84783935546875
2,Steam,tabpfn,100000,5,10k–100k,197,82,39,0.84783935546875
2,Steam,tabpfn,100000,6,100k–300k,70,28,1,0.84783935546875
2,Steam,tabpfn,100000,7,≥300k,3195,192,2,0.84783935546875
2,Steam,trees,5000,0,0–1,38400,37852,31495,0.9398916959762573
2,Steam,trees,5000,1,1–10,250,32,0,0.9398916959762573
2,Steam,trees,5000,2,10–100,1215,279,104,0.9398916959762573
2,Steam,trees,5000,3,100–1k,4143,3065,2128,0.9398916959762573
2,Steam,trees,5000,4,1k–10k,1418,1092,558,0.9398916959762573
2,Steam,trees,5000,5,10k–100k,197,37,12,0.9398916959762573
2,Steam,trees,5000,6,100k–300k,70,0,0,0.9398916959762573
2,Steam,trees,5000,7,≥300k,3195,2,0,0.9398916959762573
2,Steam,trees,10000,0,0–1,38400,37647,33608,0.9024956226348877
2,Steam,trees,10000,1,1–10,250,43,0,0.9024956226348877
2,Steam,trees,10000,2,10–100,1215,342,144,0.9024956226348877
2,Steam,trees,10000,3,100–1k,4143,3271,2449,0.9024956226348877
2,Steam,trees,10000,4,1k–10k,1418,1170,827,0.9024956226348877
2,Steam,trees,10000,5,10k–100k,197,49,30,0.9024956226348877
2,Steam,trees,10000,6,100k–300k,70,2,0,0.9024956226348877
2,Steam,trees,10000,7,≥300k,3195,10,0,0.9024956226348877
2,Steam,trees,20000,0,0–1,38400,37544,34205,0.8634533882141113
2,Steam,trees,20000,1,1–10,250,52,2,0.8634533882141113
2,Steam,trees,20000,2,10–100,1215,405,226,0.8634533882141113
2,Steam,trees,20000,3,100–1k,4143,3414,2802,0.8634533882141113
2,Steam,trees,20000,4,1k–10k,1418,1196,955,0.8634533882141113
2,Steam,trees,20000,5,10k–100k,197,51,37,0.8634533882141113
2,Steam,trees,20000,6,100k–300k,70,1,0,0.8634533882141113
2,Steam,trees,20000,7,≥300k,3195,34,3,0.8634533882141113
2,Steam,trees,50000,0,0–1,38400,37343,35957,0.7398369312286377
2,Steam,trees,50000,1,1–10,250,70,10,0.7398369312286377
2,Steam,trees,50000,2,10–100,1215,510,396,0.7398369312286377
2,Steam,trees,50000,3,100–1k,4143,3465,3199,0.7398369312286377
