meter_id,meter,model,context_rows,regime_id,regime,normal_count,baseline_false_positive_count,f1_false_positive_count,threshold
1,Chilledwater,trees,20000,3,100–1k,848372,1534,336,0.8962291479110718
1,Chilledwater,trees,20000,4,1k–10k,281688,380,40,0.8962291479110718
1,Chilledwater,trees,20000,5,10k–100k,1851,7,1,0.8962291479110718
1,Chilledwater,trees,20000,6,100k–300k,0,0,0,0.8962291479110718
1,Chilledwater,trees,20000,7,≥300k,0,0,0,0.8962291479110718
1,Chilledwater,trees,50000,0,0–1,231482,133193,67413,0.9207515120506287
1,Chilledwater,trees,50000,1,1–10,147243,1300,13,0.9207515120506287
1,Chilledwater,trees,50000,2,10–100,463579,2276,1039,0.9207515120506287
1,Chilledwater,trees,50000,3,100–1k,848372,1184,227,0.9207515120506287
1,Chilledwater,trees,50000,4,1k–10k,281688,408,23,0.9207515120506287
1,Chilledwater,trees,50000,5,10k–100k,1851,5,0,0.9207515120506287
1,Chilledwater,trees,50000,6,100k–300k,0,0,0,0.9207515120506287
1,Chilledwater,trees,50000,7,≥300k,0,0,0,0.9207515120506287
1,Chilledwater,trees,100000,0,0–1,231482,129582,68443,0.9200989603996277
1,Chilledwater,trees,100000,1,1–10,147243,797,4,0.9200989603996277
1,Chilledwater,trees,100000,2,10–100,463579,1923,938,0.9200989603996277
1,Chilledwater,trees,100000,3,100–1k,848372,927,191,0.9200989603996277
1,Chilledwater,trees,100000,4,1k–10k,281688,381,17,0.9200989603996277
1,Chilledwater,trees,100000,5,10k–100k,1851,3,0,0.9200989603996277
1,Chilledwater,trees,100000,6,100k–300k,0,0,0,0.9200989603996277
1,Chilledwater,trees,100000,7,≥300k,0,0,0,0.9200989603996277
2,Steam,tabpfn,5000,0,0–1,113715,53978,27912,0.8732237815856934
2,Steam,tabpfn,5000,1,1–10,28581,1155,100,0.8732237815856934
2,Steam,tabpfn,5000,2,10–100,260925,2689,60,0.8732237815856934
2,Steam,tabpfn,5000,3,100–1k,583601,4990,1500,0.8732237815856934
2,Steam,tabpfn,5000,4,1k–10k,291800,653,56,0.8732237815856934
2,Steam,tabpfn,5000,5,10k–100k,22637,1,0,0.8732237815856934
2,Steam,tabpfn,5000,6,100k–300k,462,0,0,0.8732237815856934
2,Steam,tabpfn,5000,7,≥300k,0,0,0,0.8732237815856934
2,Steam,tabpfn,10000,0,0–1,113715,46005,16420,0.9106889963150024
2,Steam,tabpfn,10000,1,1–10,28581,1181,25,0.9106889963150024
2,Steam,tabpfn,10000,2,10–100,260925,1805,11,0.9106889963150024
2,Steam,tabpfn,10000,3,100–1k,583601,5258,1359,0.9106889963150024
2,Steam,tabpfn,10000,4,1k–10k,291800,661,59,0.9106889963150024
2,Steam,tabpfn,10000,5,10k–100k,22637,11,0,0.9106889963150024
2,Steam,tabpfn,10000,6,100k–300k,462,0,0,0.9106889963150024
