sampling_profile,building_seed,building_budget,features,model,grouping,group,group_label,buildings,rows,anomalies,anomaly_rate,roc_auc,pr_auc,precision_0_5,recall_0_5,f1_0_5,tn_0_5,fp_0_5,fn_0_5,tp_0_5,row_seed,support_id,building_draw_seed
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,11,site 11,2,26160,194,0.007415902140672783,0.849836046503318,0.022016531933005012,0.034153247212882674,0.9948453608247423,0.06603934987168521,20508,5458,1,193,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,11,site 11,2,26160,194,0.007415902140672783,0.8435080847198279,0.020982194690879124,0.034177439348326545,0.9948453608247423,0.06608457455915083,20512,5454,1,193,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,13,site 13,53,702174,37855,0.05391113883453389,0.8715404802966757,0.2246998750363183,0.25764695661788517,0.8617884031171575,0.39669491834575676,570323,93996,5232,32623,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,13,site 13,53,702174,37855,0.05391113883453389,0.8723888142308435,0.22187798039448775,0.25670787329747413,0.8623431514991414,0.39563929002114906,569799,94520,5211,32644,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,14,site 14,45,812410,66380,0.08170751221673786,0.9593901463214602,0.7139663449178429,0.6961805025493848,0.6870141608918349,0.6915669593436756,726128,19902,20776,45604,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,14,site 14,45,812410,66380,0.08170751221673786,0.9605704636635657,0.7327848311992567,0.7245710242349195,0.678758662247665,0.7009170601183855,728903,17127,21324,45056,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,15,site 15,45,482676,9311,0.019290372838094292,0.9877344130646317,0.6657942780282805,0.49745525247326583,0.9342712920201912,0.6492275542950966,464577,8788,612,8699,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,ensemble,site,15,site 15,45,482676,9311,0.019290372838094292,0.9888328880131991,0.7054344358118713,0.5147112241191427,0.9131135216410697,0.6583297843509234,465349,8016,809,8502,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,meter,1,chilledwater,252,2115354,141139,0.06672122018347756,0.9605730102448172,0.5332223429993795,0.45580181974784406,0.9111159920362196,0.6076273549021183,1820682,153533,12545,128594,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,meter,1,chilledwater,252,2115354,141139,0.06672122018347756,0.9625395387861282,0.5668252323052998,0.4800875995620022,0.9070774201319267,0.6278656325173427,1835571,138644,13115,128024,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,meter,2,steam,162,1350609,48888,0.03619700446243139,0.9450074801396774,0.6046789356722791,0.4626675015654352,0.7556864670266732,0.5739408721589585,1258815,42906,11944,36944,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,meter,2,steam,162,1350609,48888,0.03619700446243139,0.9472958481566992,0.6017789568140411,0.44635237797897803,0.789580265095729,0.5703078252775746,1253841,47880,10287,38601,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,meter,3,hotwater,73,636121,90691,0.14256878801360118,0.87838609286855,0.47559423614188645,0.4770410188366845,0.4638277227067735,0.47034158886342037,499316,46114,48626,42065,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,meter,3,hotwater,73,636121,90691,0.14256878801360118,0.8942919796298413,0.5305125479087692,0.5587610056576613,0.7361590455502751,0.6353086713453074,492709,52721,23928,66763,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,overall,0,all,296,4102084,280718,0.06843302087426781,0.9427420015687873,0.5037596917374406,0.4611801242236025,0.7395428864554464,0.5680951846693137,3578813,242553,73115,207603,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,overall,0,all,296,4102084,280718,0.06843302087426781,0.947644415955691,0.5362724849381071,0.4938038605006421,0.8313966329198698,0.6195996288582613,3582121,239245,47330,233388,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,0,site 0,13,93806,4045,0.043120909110291455,0.9970456582208853,0.9704639017810013,0.5437448896156991,0.9864029666254636,0.7010454186066942,86413,3348,55,3990,0,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,0,site 0,13,93806,4045,0.043120909110291455,0.9976622578659614,0.9809665729521827,0.6802744425385935,0.980469715698393,0.8032405063291139,87897,1864,79,3966,1,building_seed0,0.0
reused_v4_nested_buildings_new_fixed_50k_global_50_50,0,50,137,hist_gradient_boosting,site,1,site 1,7,61469,2933,0.047715108428638825,0.9090835973850135,0.43390136571350735,0.3495490571194315,0.436072280941016,0.3880461165048544,56156,2380,1654,1279,0,building_seed0,0.0
